date,headline
2024-02-20,"UBS says hot, demand-driven inflation is positive for stocks, raises its S&P 500 target to a Wall Street high"
2024-02-22,Bitcoin Rises as Crypto Traders Look to the S&P 500 and Nvidia
2024-02-22,Etsy Stock Is S&P 500's Worst Performer Thursday. Why Analysts See Room for Hope.
2024-02-22,"World markets today: US stocks surge on robust Nvidia results, S&P 500 up 1.31%, Nasdaq climbs 2.13%"
2024-02-23,"US stocks close mixed as tech rally cools after a brief S&P 500 surge past 5,100"
2024-02-24,"What's Behind the S&P 500's Spectacular Gains, in 4 Charts"
2024-02-28,Taser Maker Axon Is Top Stock in S&P 500 Today. Here's Why.
2024-02-28,An ETF that tracks the stock trades of Democrats in Congress has been beating the S&P 500 on the strength of Magnificent 7 tech bets
2024-02-29,Hormel Foods Is the S&P 500's Top Stock. Shoppers Are Going Nuts for Planters.
2024-03-01,"Nasdaq Notches a Record Close --- Dow, S&P 500 turn in their best first two months of a year since 2019"
2024-03-01,"Super Micro, Deckers to Join S&P 500 Index, Replacing Whirlpool, Zions Bancorp"
2024-03-02,Indian stock market: 5 key things that changed for market over the weekend - Gifty Nifty to S&P 500 ends at record
2024-03-03,S&P 500 posts 15th record this year
2024-03-04,Why BofA Sees the S&P 500 Climbing to 5400
2024-03-04,Super Micro Stock and Deckers Surge. They're Joining the S&P 500 Index.
2024-03-04,"Bank of America says the S&P 500 rally has 5% further to run this year, but sees a near-term pullback first"
2024-03-04,"The S&P 500 is at an all-time high, but you should stay invested"
2024-03-06,Tesla Is No Longer One of the Top 10 Most Valuable S&P 500 Companies
2024-03-06,"S&P 500 might crash 60%, a recession is looming, and speculation is rife, warns elite technical analyst Milton Berg"
2024-03-06,"Big Tech Stocks Pull Down Nasdaq, S&P 500"
2024-03-07,Stock market today: S&P 500 hits record as Powell reaffirms rate cuts
2024-03-07,"Stock market today: S&P 500, Nasdaq notch records as Powell reiterates rate cuts are coming"
2024-03-08,Will the Stock Market Keep Going Up? What to Know as the S&P 500 Hits New Highs. Hope for interest-rate cuts has been replaced by stronger economic growth as fuel for stocks.
2024-03-08,Tech Shares Push S&P 500 to a Record --- Major indexes rise for second day in a row ahead of monthly jobs report
2024-03-08,"US stock market: S&P 500, Nasdaq hit record highs as Powell signals rate cuts ahead"
2024-03-12,"Morgan Stanley's CIO sticks by his forecast for a 13% S&P 500 sell-off, says FOMO-driven investors make records unsustainable"
2024-03-13,Stocks Rally Despite Hot Report on Consumer Prices --- S&P 500 sets record close above 5175 as tech shares lead broad march higher
2024-03-13,Stock market today: US futures flatline after S&P 500 hits another record high
2024-03-14,Tesla and Boeing Are the Worst Stocks in the S&P 500 This Year. They're Paying for Decisions Made Years Ago.
2024-03-14,"Chip-Stock Selloff Hits S&P 500 --- Four of 11 industry sectors finish in red, with information technology off 1.1%"
2024-03-15,"S&P 500 is 'bizarrely overvalued' and could crash 49% as recession sets in, elite strategist says"
2024-03-16,EXCHANGE --- Friday's Markets: S&P 500 Drops for Second Straight Week --- Investors await Fed meeting for clarity on rates amid hot inflation readings
2024-03-18,"Delta Air Lines, Ford, GM, and Walgreens Are the Cheapest Stocks in the S&P 500"
2024-03-18,"Newest S&P 500 Entrant Makes AI Splash --- Shares of server maker Super Micro skyrocket, topping even those of Nvidia"
2024-03-18,"Super Micro Computer Stock Joins the S&P 500, and Other Technology News Today"
2024-03-18,"Tesla is the biggest S&P 500 loser this year, down even more than Boeing"
2024-03-19,International Paper Is the S&P 500's Top Stock on Tuesday. Here's Why.
2024-03-20,"S&P 500 Climbs to Record Before Fed --- Ten of 11 industry sectors gain; Energy is leader, pushed up by rising oil prices"
2024-03-21,"The S&P 500 will rally another 5% this year as profit growth thrives, new biggest Wall Street bull SocGen says"
2024-03-21,67% of companies in the S&P 500 may be inaccurately valued; reveals Interbrands report
2024-03-25,"A 34% gain in the S&P 500 by the end of 2026 is possible with stocks in the middle innings of a long-term bull market, BofA technical strategist says"
2024-03-27,These GE and 3M Spinoffs Are Set to Join the S&P 500
2024-03-27,Cintas Is the Best Performer in the S&P 500 Wednesday. It's Raising Guidance After an Earnings Beat.
2024-03-28,"Indian stock market: 10 key things that changed for market overnight - Gift Nifty, S&P 500's record close to oil prices"
2024-03-28,These GE and 3M Spinoffs Are Set to Join the S&P 500
2024-03-28,"Don't Worry About S&P 500 at Record Highs, Says UBS. What History Says Is Next."
2024-03-28,Estée Lauder Is S&P 500's Top Performer. It's a 'Cinderella Story.'
2024-03-28,S&P 500's Top Stock This Year Rode the AI Boom. This EV Maker Had a Rough First Quarter.
2024-03-29,S&P 500 Clinches Best Start To Year Since 2019
2024-03-29,"Apple Stock 'Warning Signal,' Mag 7 Threat to S&P 500 Rally. And Other Tech News Today."
2024-03-29,Gold Prices Hit a Record. An 'Overvalued' S&P 500 Could Mean More Gains Are Coming.
2024-03-29,S&P 500 Climbs to Record As Strong First Quarter Ends --- Index notches its best start to year since 2019 and its 22nd high of 2024
2024-03-30,A 32-year market vet warns the S&P 500 is set to fall 50%-70% in the years ahead with valuations at historic highs - and says that an imminently weakening labor market will be the catalyst for the crash
2024-04-01,Gold Hits an All-Time High. It's Beating the S&P 500.
2024-04-01,Why Micron Is the Top Stock in S&P 500 Today
2024-04-02,Bitcoin Follows the S&P 500 Lower. Watch This Price Level for More Losses.
2024-04-03,Ulta Stock Is Worst Performer in S&P 500 on Wednesday. Why Beauty Companies Are Taking a Hit.
2024-04-04,S&P 500 Snaps Two-Day Losing Streak --- Powell says strong economy hasn't changed Fed's plan for interest-rate cuts
2024-04-04,"A peak in bitcoin would pressure big tech stocks and drag the S&P 500 lower over the next 6 months, Wall Street strategist says"
2024-04-04,The CEO of a weight-loss ETF that's crushing the S&P 500 since launching in November shares 4 stocks he sees with over 100% upside in the next 12 months
2024-04-05,S&P 500 trackers hit record 27% of equity ETF flows last year: Blue chips. US clout Tally climbs to $137bn as benchmarks are recast by rise of Magnificent Seven
2024-04-05,Spread the Wealth: Stock Funds That Go Beyond the S&P 500; Don't put all your cards in the Magnificent Seven. These stock funds offer investors true diversificationand that will pay off in more growth opportunities and better protection.
2024-04-05,"The S&P 500 will soar another 26% by the end of next year as the Fed cuts rates more than expected, research firm says"
2024-04-06,EV slowdown takes toll on Tesla as investors park their cash elsewhere: Sector pioneer is second-worst S&amp;P 500 performer this year amid powerful advance of China rivals
2024-04-08,Earnings Season to Test Stocks --- S&P 500 companies expected to report third straight quarter of growth
2024-04-08,Don't Put All Your Eggs in the Mag 7 Stocks. These Funds Beat the S&P 500. These stock funds offer investors true diversificationand that will pay off in more growth opportunities and better protection.
2024-04-09,There are opportunities outside the 'Magnificent 7' stocks in S&P 500: Savita Subramanian [Market-Expert-View]
2024-04-10,"Wall Street has a new biggest stock bull, who says tech can push the S&P 500 another 7% higher this year even if the economy flags"
2024-04-15,M&T Bank Had a Tough Quarter. Why the Stock Is Leading the S&P 500 Today.
2024-04-16,"Brace for the S&P 500 to crash 30% before an even bigger collapse after the election, markets guru David Brady warns"
2024-04-17,Stock market today: S&P 500 hits 4-day losing streak as tech stocks weigh down market
2024-04-17,"'Volatility could explode': The S&P 500 is ripe for a correction as tensions in the Middle East flare and inflation sticks, experts warn. Here's what to do with your money."
2024-04-18,Las Vegas Sands Is Worst Performer in S&P 500 After Earnings Beat. Here's Why.
2024-04-19,Generac Is the Top S&P 500 Stock Lately. Why That Points to a Challenge for the CEO.
2024-04-19,The S&P 500 Can't Catch a Bid. Why the Index Can Keep Falling.
2024-04-19,Stock market today: S&P 500 falls for 6th day in a row amid weakness in mega-cap tech
2024-04-22,"The S&P 500 is defying the equity bears, despite doomsayers: Market Minds"
2024-04-23,MSCI and LKQ Are the S&P 500's Leading Decliners Tuesday. Here's Why.
2024-04-24,"Teledyne Stock Is S&P 500's Worst Performer After Weak Earnings, Grim Guidance"
2024-04-24,"S&P 500 is at risk of crashing 44% - and selling early could pay off, says elite forecaster"
2024-04-25,"Why the S&P 500 is poised to gain 3% over the next 20 days, says JPMorgan's trading desk"
2024-04-25,S&P 500[...]: MARKET DATA [ASIA REGION]
2024-04-27,A 32-year market vet warns underlying weakness in the labor market is on the verge of showing up in monthly jobs data - and shares an ominous chart showing why the S&P 500 could be set to fall more than 50%
2024-04-29,What Happens to the S&P 500 if the 10-Year Yield Cracks 5%
2024-04-30,GE Aerospace Is the S&P 500's Top-Performing Stock in April. Globe Life Is the Worst.
2024-05-01,Bio-Techne Is the Best Performing Stock in the S&P 500 Wednesday. Here's Why.
2024-05-01,The S&P 500 Now Has a Chip Stock Problem. Here's Where the Index Is Headed.
2024-05-02,Trucking Stock Leads S&P 500 After Blowout Earnings
2024-05-02,S&P 500 Slips After Fed Meeting --- No major surprises from central bank as indexes show measured moves
2024-05-02,"How This Hedge Fund Beats the S&P 500 With 20 or So Quality Stocks; Dev Kantesaria of Valley Forge Capital Management seeks companies with pricing power and operating leverage. Why Fair Isaac, ASML also fit the bill."
2024-05-03,Make No Mistakethe Fed Isn't the Market's Friend. The S&P 500 Will Lose Steam.
2024-05-03,"Vistra to Join S&P 500 Index, Replacing Pioneer Natural Resources"
2024-05-07,Builders FirstSource Is Worst S&P 500 Stock Tuesday. Here's Why.
2024-05-08,"Nvidia, Tesla, Microsoft Losses Didn't Stop the S&P 500's Winning Streak. Why That's a Big Deal and 5 Other Things to Know Today."
2024-05-09,Why the Dow Keeps Outperforming the S&P 500 This Month
2024-05-09,"Markets & Finance -- Wednesday's Markets: Blue Chips Extend Longest Win Streak of Year to 6 Days --- S&P 500 falls slightly, ending four straight days of gains; Nasdaq drops"
2024-05-10,"Gen Digital Is S&P 500's Top Performer After Buyback News, Earnings"
2024-05-10,S&P 500 within 1% of its record
2024-05-10,Wall Street rises to pull S&P 500 back within 1% of its record
2024-05-13,S&P 500 breaks downwards trendline
2024-05-13,The S&P 500 Is Flying High. Why One Strategist Says It Can't Last.
2024-05-14,The S&P 500 just flashed a bullish signal that suggests the stock market will hit record highs this summer
2024-05-14,"4 reasons why the S&P 500 has another 5% upside this year, UBS says"
2024-05-15,"Nasdaq Hits Record, S&P 500 Closes In --- A surprisingly strong report on consumer prices could damp rally"
2024-05-15,A stock trader who consistently beats the S&P 500 and returned 118% in his best year shares how he's investing his money in 2024 - and what ETF he would add to his portfolio if he was a 'set and forget' investor
2024-05-15,Stock market today: S&P 500 closes at a record high as stocks rise on cooler April inflation
2024-05-16,Emerging Market Stocks Are Breaking Out. They Could Beat the S&P 500 From Here.
2024-05-16,Bitcoin Gains as Inflation Cheer Sends S&P 500 to Record Highs. Technical Signs Flash Green.
2024-05-17,The Stock Market Celebrated Inflation Too Soon. Why an Exhausted S&P 500 Is Set to Drop.
2024-05-20,"A top Wall Street bear has turned bullish on stocks, boosting his S&P 500 price target by 20%"
2024-05-20,Norwegian Cruise Line Is S&P 500's Top Performer. It Lifted Guidance Twice This Month.
2024-05-21,Technology-Stock Investors Drive Up Nasdaq to Record --- S&P 500 edges higher but ends just short of new high; Dow finishes lower
2024-05-21,Keysight Technologies Is the S&P 500's Worst Performer. It Isn't Because of Earnings.
2024-05-21,Stock market today: S&P 500 edges higher to new record as traders brace for Nvidia earnings
2024-05-22,"S&P 500, Nasdaq Reach Records, Fueling May Rally"
2024-05-24,TurboTax's Intuit Is the S&P 500's Worst Performer Friday. Analysts Still Like the Stock.
2024-05-24,"Workday Is the Worst Performer in the S&P 500. Guidance Was So Downbeat, Even Salesforce Stock Is Dropping."
2024-05-25,"EXCHANGE --- Friday's Markets: S&P 500, Nasdaq Notch Weekly Gains --- Dow snaps winning streak as several of its components had a tough week"
2024-05-25,A hedge fund manager beating the S&P 500 through April warns stocks could 'easily' drop 20-30% as inflation and interest rates stay elevated - and shares 5 economically resilient picks he's betting on
2024-05-28,"The S&P 500 will climb another 6% by year-end as recession risk subsides, UBS says"
2024-05-29,"The S&P 500 could plunge as much as 70% this cycle as markets hit a 'motherlode' of FOMO extremes, famed fund manager says"
2024-05-30,Bulls Are Banking on S&P 500 Earnings Growth. There's a Problem.
2024-05-30,Rising Bond Yields Weigh On Stocks --- All 11 sectors of S&P 500 close lower; Treasury auction sees weak demand
2024-05-31,First Solar Is S&P 500's Best Performer in May. A Tech Stock Did the Worst.
2024-06-01,A 32-year market vet shares 2 charts showing stocks could be entering a major market peak - and warns a coming recession will send the S&P 500 plummeting more than 60%
2024-06-03,S&P 500 losing steam going into June
2024-06-03,S&P 500 Valuations Are Nuts. Why People Are Still Buying.
2024-06-03,"The S&P 500 could climb 23% next year if Treasury yields fall and AI momentum stays strong, research firm says"
2024-06-04,"Brace for a 10% slide in the S&P 500 as stagflation makes the Fed unlikely to cut rates, Stifel says"
2024-06-04,"S&P 500 Rises, Energy Stocks Falter --- Return of meme- stock mania pushes GameStop and other shares higher"
2024-06-05,"The $3 Trillion Club Microsoft, Apple, and NvidiaMake Up 20% of the S&P 500"
2024-06-05,Stock market today: S&P 500 closes at record high as rate cut hopes rise and Nvidia surges
2024-06-06,"Microsoft, Apple, and Nvidia Dominate the S&P 500 Like No Trio Ever Has"
2024-06-07,Tech-Stock Pullback Weighs on S&P 500 --- Declines in Nvidia and Apple were offset in part by gains in other areas
2024-06-08,Retail traders push India stock option volumes above S&P 500: Derivatives. Froth fears Small investors join stampede after south Asian country's equities index hits record high
2024-06-08,GoDaddy and CrowdStrike Will Join the S&P 500 Later This Month
2024-06-10,Dell and 4 More Stocks That Could Be Added to the S&P 500 Next
2024-06-10,"KKR, CrowdStrike Stocks Pop. Why Joining the S&P 500 Is Better Than the Dow."
2024-06-10,"Stock market today: S&P 500 and Nasdaq close at record highs ahead of Fed meeting, May inflation report"
2024-06-11,This basket of highly profitable healthcare stocks compiled by Piper Sandler has crushed the S&P 500 by 22% over the last year. Here are the 7 stocks on the list.
2024-06-11,ChatGPT Rescued the S&P 500. The Next Hero Is Standing By.
2024-06-11,"Stock market today: S&P 500 closes at a record high as investors await the latest Fed decision, May CPI"
2024-06-12,'Black Swan' investor sees the S&P 500 jumping another 12% - followed by the worst crash since 1929
2024-06-12,"AI Investments Boost Technology Stocks --- S&P 500, Nasdaq extend highs, led by record-breaking day for shares of Apple"
2024-06-12,Apple Stock Had Historic Tuesday. S&P 500 Would Have Dropped Without Its Gain.
2024-06-14,"Tech Sector Powers S&P 500, Nasdaq To Record Levels"
2024-06-14,Warren Buffett's Apple stake is worth $169 billion - more than the value of many S&P 500 companies
2024-06-14,Carnival and Norwegian Stocks Are Sinking the S&P 500. Pricing May Be an Issue.
2024-06-15,EXCHANGE --- Friday's Markets: S&P 500 and Nasdaq Notch Weekly Gains --- The yield on the Treasury's 10-year note slides on hopes for lower rates
2024-06-17,"The S&P 500 Gets New Targets. Investors, Be on Your Guard."
2024-06-17,Why the Dow Keeps Dropping Even When the S&P 500 and Nasdaq Keep Gaining
2024-06-17,Evercore ISI upgrades its S&P 500 outlook to the highest on Wall Street as it says the AI revolution is just getting started
2024-06-17,Stock market today: Mega-cap tech drives S&P 500 and Nasdaq to record highs
2024-06-18,"Technology Stocks Lift Nasdaq, S&P 500 --- Investors await global central-bank decisions and data on retail sales"
2024-06-18,Investing in the S&P 500 alone is not the silver bullet
2024-06-18,Micron Stock Is S&P 500's Top Performer Ahead of Earnings. Here's Why.
2024-06-18,Stock market today: S&P 500 closes at fresh record high as Nvidia becomes world's biggest company
2024-06-18,Your Questions Answered: What are the pros and cons of investing in a mutual fund tracking S&P 500 index?
2024-06-20,Stock market today: S&P 500 and Nasdaq head for new highs as Nvidia rally pushes on
2024-06-21,Nvidia Has Boosted the S&P 500. Now It Could Tank It.
2024-06-21,How AI Could Help the S&P 500 Climb 10%
2024-06-21,"Dell's AI Margin Slip Is a Speed Bump --- Strong position in artificial-intelligence servers will help pricing power, while possible S&P 500 inclusion gives stock momentum"
2024-06-22,EXCHANGE --- Friday's Markets: S&P 500 Rises for Third Week in a Row --- The benchmark index is up 15% this year due to gains in AI-related stocks
2024-06-22,"EXCHANGE --- Streetwise: Nvidia's Success Is the Stock Market's Problem, Broadly --- The company accounts for a third of this month's gain in the S&P 500. What happens when it falls?"
2024-06-23,"The S&P 500 will hit 8,000 by the end of the decade as the bull market continues through the 'roaring 20s,' market vet says"
2024-06-23,"3 ETF investing strategies to use to protect your portfolio from potential downside as big indexes like the S&P 500 become riskier, according to an ETF expert"
2024-06-24,"The S&P 500 will soar 175% to 15,000 by the end of the decade, Fundstrat's Tom Lee says"
2024-06-24,"GoDaddy, CrowdStrike and KKR to start trading on S&P 500 today, Altair added to mid-cap index"
2024-06-24,"An overload of warning signals mark the 'last straw' that could send the S&P 500 plunging 70%, famed permabear says"
2024-06-25,"Nvidia Pulls S&P 500, Nasdaq Lower --- Stocks end broadly higher outside of technology sector, as Dow gains 0.7%"
2024-06-26,A veteran fund manager who's more than quadrupled the S&P 500's return in the last 32 years explains how he finds deeply undervalued stocks - and shares how he made one of his best trades ever
2024-06-26,"The S&P 500 could crater 48% when the stock-market bubble pops and recession finally hits, elite strategist says"
2024-06-27,McCormick Stock Is Top S&P 500 Performer After Earnings
2024-06-28,The S&P 500 Is Having a Great First Half of the Year. Here's What Comes Next.
2024-06-28,"Why Micron Is a Better Market Indicator than S&P 500 Rally, Trump, Biden. And 4 Other Things to Know Today."
2024-06-28,Nvidia Isn't June's Top Performer in the S&P 500. It's This Cybersecurity Stock.
2024-06-28,Stocks Are Defecting to New York. Buy This S&P 500 Shoo-In and Antidote to Nvidia.
