Title,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,identifierKeywords,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
"Dow Jones Futures: Nvidia, S&P 500 Below Key Levels After Stock Market Sell-Off",3150185448,Newspapers,"Lehtonen, Scott",," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Dec 31, 2024",, English, English, Los Angeles,"Dec 31, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/dow-jones-futures-nvidia-s-p-500-below-key-levels/docview/3150185448/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Dow+Jones+Futures%3A+Nvidia%2C+S%26P+500+Below+Key+Levels+After+Stock+Market+Sell-Off&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Dow+Jones+Futures%3A+Nvidia%2C+S%26amp%3BP+500+Below+Key+Levels+After+Stock+Market+Sell-Off&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Lehtonen,ABI/INFORM Collection
Stocks are skipping the 'Santa Claus rally' again this year. That doesn't bode well for January. The S&P 500 is heading for a loss during the typically bullish stretch for the second year in a row,3150177959,Newspapers,"Adinolfi, Joseph",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Dec 30, 2024",, English, English, South Brunswick,"Dec 30, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/stocks-are-skipping-santa-claus-rally-again-this/docview/3150177959/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Stocks+are+skipping+the+%27Santa+Claus+rally%27+again+this+year.+That+doesn%27t+bode+well+for+January.+The+S%26P+500+is+heading+for+a+loss+during+the+typically+bullish+stretch+for+the+second+year+in+a+row&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Stocks+are+skipping+the+%27Santa+Claus+rally%27+again+this+year.+That+doesn%27t+bode+well+for+January.+The+S%26amp%3BP+500+is+heading+for+a+loss+during+the+typically+bullish+stretch+for+the+second+year+in+a+row&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Adinolfi,ABI/INFORM Collection
"Dow Jones Futures: Nvidia, S&P 500 Below Key Levels After Stock Market Sell-Off",3150177957,Newspapers,"Lehtonen, Scott",," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Dec 30, 2024",, English, English, Los Angeles,"Dec 30, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/dow-jones-futures-nvidia-s-p-500-below-key-levels/docview/3150177957/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Dow+Jones+Futures%3A+Nvidia%2C+S%26P+500+Below+Key+Levels+After+Stock+Market+Sell-Off&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Dow+Jones+Futures%3A+Nvidia%2C+S%26amp%3BP+500+Below+Key+Levels+After+Stock+Market+Sell-Off&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Lehtonen,ABI/INFORM Collection
Don't compare your retirement investments to the S&P 500; Retirement is about maximizing reliable cash flow for life,3150169875,Newspapers,"Anspach, Dana",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Dec 30, 2024",, English, English, South Brunswick,"Dec 30, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/dont-compare-your-retirement-investments-s-p-500/docview/3150169875/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Don%27t+compare+your+retirement+investments+to+the+S%26P+500%3B+Retirement+is+about+maximizing+reliable+cash+flow+for+life&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Don%27t+compare+your+retirement+investments+to+the+S%26amp%3BP+500%3B+Retirement+is+about+maximizing+reliable+cash+flow+for+life&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Anspach,ABI/INFORM Collection
Warren Buffett Puts Cash Reserves To Work Buying S&P 500 Underperformer,3150118617,Newspapers,"Norton, Kit",," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Dec 30, 2024",, English, English, Los Angeles,"Dec 30, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/warren-buffett-puts-cash-reserves-work-buying-s-p/docview/3150118617/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Warren+Buffett+Puts+Cash+Reserves+To+Work+Buying+S%26P+500+Underperformer&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Warren+Buffett+Puts+Cash+Reserves+To+Work+Buying+S%26amp%3BP+500+Underperformer&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Norton,ABI/INFORM Collection
Palantir Is 2024's S&P 500 King. These 9 Stocks Also Had Huge Gains.,3150117049,Newspapers,"Carson, Ed",," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Dec 30, 2024",, English, English, Los Angeles,"Dec 30, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/palantir-is-2024s-s-p-500-king-these-9-stocks/docview/3150117049/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Palantir+Is+2024%27s+S%26P+500+King.+These+9+Stocks+Also+Had+Huge+Gains.&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Palantir+Is+2024%27s+S%26amp%3BP+500+King.+These+9+Stocks+Also+Had+Huge+Gains.&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Carson,ABI/INFORM Collection
"Dow Jones Futures Fall, S&P 500 Set To Undercut Key Level; Tesla Deliveries Due",3149926419,Newspapers,"Carson, Ed",," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Dec 30, 2024",, English, English, Los Angeles,"Dec 30, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/dow-jones-futures-fall-s-p-500-set-undercut-key/docview/3149926419/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Dow+Jones+Futures+Fall%2C+S%26P+500+Set+To+Undercut+Key+Level%3B+Tesla+Deliveries+Due&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Dow+Jones+Futures+Fall%2C+S%26amp%3BP+500+Set+To+Undercut+Key+Level%3B+Tesla+Deliveries+Due&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Carson,ABI/INFORM Collection
How One of the Cheapest Stocks in the S&P 500 Could Gain 50% in the Next Two Years,3150486446,Newspapers,"Bary, Andrew",," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 29, 2024",, English, English, New York,"Dec 29, 2024",Barron's (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/how-one-cheapest-stocks-s-amp-p-500-could-gain-50/docview/3150486446/se-2?accountid=14762,,,,,,," FINANCE , FINANCE",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=How+One+of+the+Cheapest+Stocks+in+the+S%26amp%3BP+500+Could+Gain+50%25+in+the+Next+Two+Years&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=How+One+of+the+Cheapest+Stocks+in+the+S%26amp%3BP+500+Could+Gain+50%25+in+the+Next+Two+Years&amp;spage=&amp;sid=ProQ%3Aabiglobal&amp;author=Bary,"ABI/INFORM Collection, Research Library"
"Warren Buffett is buying up stock in this high-margin internet registry company; Buffett's Berkshire Hathaway is the largest shareholder of VeriSign, which ranks highly among S&P 500 companies in terms of gross and operating margins",3149941358,Newspapers,"Kilgore, Tomi;Philip van Doorn",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Dec 28, 2024",, English, English, South Brunswick,"Dec 28, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/warren-buffett-is-buying-up-stock-this-high/docview/3149941358/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Warren+Buffett+is+buying+up+stock+in+this+high-margin+internet+registry+company%3B+Buffett%27s+Berkshire+Hathaway+is+the+largest+shareholder+of+VeriSign%2C+which+ranks+highly+among+S%26P+500+companies+in+terms+of+gross+and+operating+margins&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Warren+Buffett+is+buying+up+stock+in+this+high-margin+internet+registry+company%3B+Buffett%27s+Berkshire+Hathaway+is+the+largest+shareholder+of+VeriSign%2C+which+ranks+highly+among+S%26amp%3BP+500+companies+in+terms+of+gross+and+operating+margins&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Kilgore,ABI/INFORM Collection
"S&P 500 Winners Fortinet, Boston Scientific Lead 5 Stocks Near Buy Points",3149720055,Newspapers,"Norton, Kit",," © 2024. Investor’s Business Daily, LLC All rights reserved", News," Dec 28, 2024",, English, English, Los Angeles,"Dec 28, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/s-p-500-winners-fortinet-boston-scientific-lead-5/docview/3149720055/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=S%26P+500+Winners+Fortinet%2C+Boston+Scientific+Lead+5+Stocks+Near+Buy+Points&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=S%26amp%3BP+500+Winners+Fortinet%2C+Boston+Scientific+Lead+5+Stocks+Near+Buy+Points&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Norton,ABI/INFORM Collection
Morgan Stanley CIO Mike Wilson warns the S&P 500 faces a decade of 'flat-ish' returns ahead — but shares 2 investments with high odds of making you 'pretty good money' in the next 3-5 years,3149706233,Newspapers,"Edwards, William", Morgan Stanley," Copyright Insider, Inc. 2024", News," Dec 28, 2024",, English, English, New York,"Dec 28, 2024",Business Insider,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/morgan-stanley-cio-mike-wilson-warns-s-amp-p-500/docview/3149706233/se-2?accountid=14762,,," limited-synd , s-p-500-outlook , mike-wilson , morgan-stanley , s-p-500-returns , stock-valuations , investing",,,," ECONOMICS , Decades , SUSTAINABILITY , China , India"," limited-synd , s-p-500-outlook , mike-wilson , morgan-stanley , s-p-500-returns , stock-valuations , investing",https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Morgan+Stanley+CIO+Mike+Wilson+warns+the+S%26amp%3BP+500+faces+a+decade+of+%27flat-ish%27+returns+ahead+%E2%80%94+but+shares+2+investments+with+high+odds+of+making+you+%27pretty+good+money%27+in+the+next+3-5+years&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Morgan+Stanley+CIO+Mike+Wilson+warns+the+S%26amp%3BP+500+faces+a+decade+of+%27flat-ish%27+returns+ahead+%26mdash%3B+but+shares+2+investments+with+high+odds+of+making+you+%27pretty+good+money%27+in+the+next+3-5+years&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Edwards,ABI/INFORM Collection
"Warren Buffett is buying up stock in this high-margin internet registry company; Buffett's Berkshire Hathaway is the largest shareholder of VeriSign, which ranks highly among S&P 500 companies in terms of gross and operating margins",3149496076,Newspapers,"Kilgore, Tomi;Philip van Doorn",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Dec 27, 2024",, English, English, South Brunswick,"Dec 27, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/warren-buffett-is-buying-up-stock-this-high/docview/3149496076/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Warren+Buffett+is+buying+up+stock+in+this+high-margin+internet+registry+company%3B+Buffett%27s+Berkshire+Hathaway+is+the+largest+shareholder+of+VeriSign%2C+which+ranks+highly+among+S%26P+500+companies+in+terms+of+gross+and+operating+margins&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Warren+Buffett+is+buying+up+stock+in+this+high-margin+internet+registry+company%3B+Buffett%27s+Berkshire+Hathaway+is+the+largest+shareholder+of+VeriSign%2C+which+ranks+highly+among+S%26amp%3BP+500+companies+in+terms+of+gross+and+operating+margins&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Kilgore,ABI/INFORM Collection
"The S&P 500 Has a Diversification Problem, Which Means You Do Too",3149250655,Newspapers,"Levisohn, Ben",," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Dec 26, 2024",, English, English, New York,"Dec 26, 2024",Barron's (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/s-amp-p-500-has-diversification-problem-which/docview/3149250655/se-2?accountid=14762, 52394 Portfolio Management and Investment Advice, 52394 Portfolio Management and Investment Advice,, 52394 Portfolio Management and Investment Advice,, 52394 Portfolio Management and Investment Advice," FINANCE , FINANCE , Investments , FINANCE , Investors , FINANCE",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=The+S%26amp%3BP+500+Has+a+Diversification+Problem%2C+Which+Means+You+Do+Too&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=The+S%26amp%3BP+500+Has+a+Diversification+Problem%2C+Which+Means+You+Do+Too&amp;spage=&amp;sid=ProQ%3Aabiglobal&amp;author=Levisohn,"ABI/INFORM Collection, Research Library"
"Palantir's most bullish analyst sees stock falling nearly 10%; The stock is the S&P 500's biggest gainer this year with a near fivefold rally, while the average analyst price target was 46% below current levels",3149242378,Newspapers,"Kilgore, Tomi",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Dec 26, 2024",, English, English, South Brunswick,"Dec 26, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/palantirs-most-bullish-analyst-sees-stock-falling/docview/3149242378/se-2?accountid=14762,,,,,,,,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Palantir%27s+most+bullish+analyst+sees+stock+falling+nearly+10%25%3B+The+stock+is+the+S%26P+500%27s+biggest+gainer+this+year+with+a+near+fivefold+rally%2C+while+the+average+analyst+price+target+was+46%25+below+current+levels&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Palantir%27s+most+bullish+analyst+sees+stock+falling+nearly+10%25%3B+The+stock+is+the+S%26amp%3BP+500%27s+biggest+gainer+this+year+with+a+near+fivefold+rally%2C+while+the+average+analyst+price+target+was+46%25+below+current+levels&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Kilgore,ABI/INFORM Collection
