Title,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,FindACopy,Database
"Markets -- Tuesday's Markets: Nasdaq Rises, Bond Yields Fall; Nvidia Rallies Before Earnings",3130534889,Newspapers,"Kowsmann, Patricia;Osipovich, Alexander", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Nov 20, 2024",0099-9660, English, English," New York, N.Y.","Nov 20, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/markets-tuesdays-nasdaq-rises-bond-yields-fall/docview/3130534889/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Markets+--+Tuesday%27s+Markets%3A+Nasdaq+Rises%2C+Bond+Yields+Fall%3B+Nvidia+Rallies+Before+Earnings&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Markets+--+Tuesday%27s+Markets%3A+Nasdaq+Rises%2C+Bond+Yields+Fall%3B+Nvidia+Rallies+Before+Earnings&amp;spage=B.12&amp;sid=ProQ%3Aabiglobal&amp;author=Kowsmann,ABI/INFORM Collection
Traders Bet on Nvidia Ahead of Its Earnings,3129896056,Newspapers,"Hur, Krystal", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Nov 19, 2024",0099-9660, English, English," New York, N.Y.","Nov 19, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/traders-bet-on-nvidia-ahead-earnings/docview/3129896056/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Traders+Bet+on+Nvidia+Ahead+of+Its+Earnings&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Traders+Bet+on+Nvidia+Ahead+of+Its+Earnings&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Hur,ABI/INFORM Collection
Nvidia Sets Launch of Robot Tech --- Company targets 2025's first half for release of computers for automatons,3128486063,Newspapers,"Yang, Jie", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Nov 15, 2024",0099-9660, English, English," New York, N.Y.","Nov 15, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-sets-launch-robot-tech-company-targets/docview/3128486063/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Sets+Launch+of+Robot+Tech+---+Company+targets+2025%27s+first+half+for+release+of+computers+for+automatons&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Sets+Launch+of+Robot+Tech+---+Company+targets+2025%27s+first+half+for+release+of+computers+for+automatons&amp;spage=B.4&amp;sid=ProQ%3Aabiglobal&amp;author=Yang,ABI/INFORM Collection
"EXCHANGE --- Markets & Finance: Nvidia to Replace Intel in the Dow, Sherwin-Williams Will Also Join",3123203449,Newspapers,"Pitcher, Jack"," Sherwin-Williams Co , Dow Inc , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Nov 2, 2024",0099-9660, English, English," New York, N.Y.","Nov 2, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/exchange-markets-amp-finance-nvidia-replace-intel/docview/3123203449/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=EXCHANGE+---+Markets+%26amp%3B+Finance%3A+Nvidia+to+Replace+Intel+in+the+Dow%2C+Sherwin-Williams+Will+Also+Join&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=EXCHANGE+---+Markets+%26amp%3B+Finance%3A+Nvidia+to+Replace+Intel+in+the+Dow%2C+Sherwin-Williams+Will+Also+Join&amp;spage=B.10&amp;sid=ProQ%3Aabiglobal&amp;author=Pitcher,ABI/INFORM Collection
Nvidia Chief Tells Leaders To Build AI-First Companies,3119431519,Newspapers,"Lin, Belle", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Oct 23, 2024",0099-9660, English, English," New York, N.Y.","Oct 23, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-chief-tells-leaders-build-ai-first/docview/3119431519/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Chief+Tells+Leaders+To+Build+AI-First+Companies&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Chief+Tells+Leaders+To+Build+AI-First+Companies&amp;spage=B.4&amp;sid=ProQ%3Aabiglobal&amp;author=Lin,ABI/INFORM Collection
Nvidia Gets Antitrust Scrutiny As U.S. Enforcers Examine AI,3101887345,Newspapers,"Michaels, Dave;Fitch, Asa"," Federal Trade Commission--FTC , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Sep 9, 2024",0099-9660, English, English," New York, N.Y.","Sep 9, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-gets-antitrust-scrutiny-as-u-s-enforcers/docview/3101887345/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Gets+Antitrust+Scrutiny+As+U.S.+Enforcers+Examine+AI&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Gets+Antitrust+Scrutiny+As+U.S.+Enforcers+Examine+AI&amp;spage=A.1&amp;sid=ProQ%3Aabiglobal&amp;author=Michaels,ABI/INFORM Collection
EXCHANGE --- Markets & Finance: Nvidia's Stock Is Influential But Has Risks --- Chip maker is known for greater volatility than some of its megacap peers,3101438615,Newspapers,"Pipe, Alana;Pitcher, Jack", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Sep 7, 2024",0099-9660, English, English," New York, N.Y.","Sep 7, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/exchange-markets-amp-finance-nvidias-stock-is/docview/3101438615/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=EXCHANGE+---+Markets+%26amp%3B+Finance%3A+Nvidia%27s+Stock+Is+Influential+But+Has+Risks+---+Chip+maker+is+known+for+greater+volatility+than+some+of+its+megacap+peers&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=EXCHANGE+---+Markets+%26amp%3B+Finance%3A+Nvidia%27s+Stock+Is+Influential+But+Has+Risks+---+Chip+maker+is+known+for+greater+volatility+than+some+of+its+megacap+peers&amp;spage=B.11&amp;sid=ProQ%3Aabiglobal&amp;author=Pipe,ABI/INFORM Collection
Nvidia Joins Other Investors In Backing Applied Digital,3101041588,Newspapers,"Fitch, Asa"," CoreWeave , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Sep 6, 2024",0099-9660, English, English," New York, N.Y.","Sep 6, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-joins-other-investors-backing-applied/docview/3101041588/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Joins+Other+Investors+In+Backing+Applied+Digital&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Joins+Other+Investors+In+Backing+Applied+Digital&amp;spage=B.4&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
Stocks Sell Off On Fears Economy Is Cooling --- Dow slides more than 600 points; Nvidia posts record drop in market value,3100393995,Newspapers,"Miao, Hannah", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Sep 4, 2024",0099-9660, English, English," New York, N.Y.","Sep 4, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/stocks-sell-off-on-fears-economy-is-cooling-dow/docview/3100393995/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Stocks+Sell+Off+On+Fears+Economy+Is+Cooling+---+Dow+slides+more+than+600+points%3B+Nvidia+posts+record+drop+in+market+value&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Stocks+Sell+Off+On+Fears+Economy+Is+Cooling+---+Dow+slides+more+than+600+points%3B+Nvidia+posts+record+drop+in+market+value&amp;spage=A.1&amp;sid=ProQ%3Aabiglobal&amp;author=Miao,ABI/INFORM Collection
Nvidia Dives Into Data-Hub Design,3099983016,Newspapers,"Fitch, Asa", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Sep 3, 2024",0099-9660, English, English," New York, N.Y.","Sep 3, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-dives-into-data-hub-design/docview/3099983016/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Dives+Into+Data-Hub+Design&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Dives+Into+Data-Hub+Design&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
"EXCHANGE --- The Score / The Business Week in 6 Stocks: Nvidia Finally Slows, Dollar General Drops",3098998391,Newspapers,"Fontana, Francesca"," Dollar General Corp , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Aug 31, 2024",0099-9660, English, English," New York, N.Y.","Aug 31, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/exchange-score-business-week-6-stocks-nvidia/docview/3098998391/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=EXCHANGE+---+The+Score+%2F+The+Business+Week+in+6+Stocks%3A+Nvidia+Finally+Slows%2C+Dollar+General+Drops&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=EXCHANGE+---+The+Score+%2F+The+Business+Week+in+6+Stocks%3A+Nvidia+Finally+Slows%2C+Dollar+General+Drops&amp;spage=B.2&amp;sid=ProQ%3Aabiglobal&amp;author=Fontana,ABI/INFORM Collection
"Apple, Nvidia in OpenAI Talks --- Tech giants would join multibillion- dollar funding round alongside Microsoft",3098580618,Newspapers,"Dota, Tom;Tilley, Aaron"," OpenAI , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Aug 30, 2024",0099-9660, English, English," New York, N.Y.","Aug 30, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/apple-nvidia-openai-talks-tech-giants-would-join/docview/3098580618/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Apple%2C+Nvidia+in+OpenAI+Talks+---+Tech+giants+would+join+multibillion-+dollar+funding+round+alongside+Microsoft&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Apple%2C+Nvidia+in+OpenAI+Talks+---+Tech+giants+would+join+multibillion-+dollar+funding+round+alongside+Microsoft&amp;spage=B.1&amp;sid=ProQ%3Aabiglobal&amp;author=Dota,ABI/INFORM Collection
Asian Chip Stocks Retreat Following Nvidia's Tumble,3098580608,Newspapers,Kwanwoo Jun," SK Hynix Inc , NVidia Corp"," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Aug 30, 2024",0099-9660, English, English," New York, N.Y.","Aug 30, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/asian-chip-stocks-retreat-following-nvidias/docview/3098580608/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Asian+Chip+Stocks+Retreat+Following+Nvidia%27s+Tumble&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Asian+Chip+Stocks+Retreat+Following+Nvidia%27s+Tumble&amp;spage=B.4&amp;sid=ProQ%3Aabiglobal&amp;author=Kwanwoo+Jun,ABI/INFORM Collection
"Nvidia's Big New Chips Pose Cost, Output Issues",3098580604,Newspapers,"Fitch, Asa", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Aug 30, 2024",0099-9660, English, English," New York, N.Y.","Aug 30, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidias-big-new-chips-pose-cost-output-issues/docview/3098580604/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia%27s+Big+New+Chips+Pose+Cost%2C+Output+Issues&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia%27s+Big+New+Chips+Pose+Cost%2C+Output+Issues&amp;spage=A.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
Markets & Finance -- Thursday's Markets: Stock Indexes Mainly Brush Off Disappointing Nvidia Results,3098580582,Newspapers,"Uberti, David;Wallace, Joe", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Aug 30, 2024",0099-9660, English, English," New York, N.Y.","Aug 30, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/markets-amp-finance-thursdays-stock-indexes/docview/3098580582/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Markets+%26amp%3B+Finance+--+Thursday%27s+Markets%3A+Stock+Indexes+Mainly+Brush+Off+Disappointing+Nvidia+Results&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Markets+%26amp%3B+Finance+--+Thursday%27s+Markets%3A+Stock+Indexes+Mainly+Brush+Off+Disappointing+Nvidia+Results&amp;spage=B.9&amp;sid=ProQ%3Aabiglobal&amp;author=Uberti,ABI/INFORM Collection
Markets & Finance -- Wednesday's Markets: Nasdaq Leads Major Indexes Lower --- Nvidia loses ground in late trading after reporting results after the bell,3098087398,Newspapers,"Dezember, Ryan;Dulaney, Chelsey", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Aug 29, 2024",0099-9660, English, English," New York, N.Y.","Aug 29, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/markets-amp-finance-wednesdays-nasdaq-leads-major/docview/3098087398/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Markets+%26amp%3B+Finance+--+Wednesday%27s+Markets%3A+Nasdaq+Leads+Major+Indexes+Lower+---+Nvidia+loses+ground+in+late+trading+after+reporting+results+after+the+bell&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Markets+%26amp%3B+Finance+--+Wednesday%27s+Markets%3A+Nasdaq+Leads+Major+Indexes+Lower+---+Nvidia+loses+ground+in+late+trading+after+reporting+results+after+the+bell&amp;spage=B.9&amp;sid=ProQ%3Aabiglobal&amp;author=Dezember,ABI/INFORM Collection
"Nvidia Delivers Strong Results, Outlook --- Chip maker's sales more than doubled in quarter; shares decline after hours",3098087345,Newspapers,"Fitch, Asa", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Aug 29, 2024",0099-9660, English, English," New York, N.Y.","Aug 29, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-delivers-strong-results-outlook-chip/docview/3098087345/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Delivers+Strong+Results%2C+Outlook+---+Chip+maker%27s+sales+more+than+doubled+in+quarter%3B+shares+decline+after+hours&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Delivers+Strong+Results%2C+Outlook+---+Chip+maker%27s+sales+more+than+doubled+in+quarter%3B+shares+decline+after+hours&amp;spage=A.1&amp;sid=ProQ%3Aabiglobal&amp;author=Fitch,ABI/INFORM Collection
Nvidia Draws Big Bets,3097659658,Newspapers,"Banerji, Gunjan", NVidia Corp," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Aug 28, 2024",0099-9660, English, English," New York, N.Y.","Aug 28, 2024",Wall Street Journal,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/nvidia-draws-big-bets/docview/3097659658/se-2?accountid=14762,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=00999660&amp;title=Nvidia+Draws+Big+Bets&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Nvidia+Draws+Big+Bets&amp;spage=B.11&amp;sid=ProQ%3Aabiglobal&amp;author=Banerji,ABI/INFORM Collection
