Title,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,identifierKeywords,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
Companies are increasingly talking about tariffs as Election Day nears; Here's how earnings calls for S&P 500 companies have featured what Trump has described as his favorite word,3122233890,Newspapers,"Reklaitis, Victor",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 30, 2024",, English, English,, South Brunswick,"Oct 30, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/companies-are-increasingly-talking-about-tariffs/docview/3122233890/se-2?accountid=14762,,,,,,," Nominations , ECONOMICS",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Companies+are+increasingly+talking+about+tariffs+as+Election+Day+nears%3B+Here%27s+how+earnings+calls+for+S%26amp%3BP+500+companies+have+featured+what+Trump+has+described+as+his+favorite+word&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Companies+are+increasingly+talking+about+tariffs+as+Election+Day+nears%3B+Here%27s+how+earnings+calls+for+S%26amp%3BP+500+companies+have+featured+what+Trump+has+described+as+his+favorite+word&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Reklaitis,ABI/INFORM Collection
"'Leave New York and come to Toronto': Canadian stocks are set to outperform the S&P 500, top economist says",3122190552,Newspapers,"Cloonan, Kelly",," Copyright Insider, Inc. 2024", News," Oct 30, 2024",, English, English,, New York,"Oct 30, 2024",Business Insider,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/leave-new-york-come-toronto-canadian-stocks-are/docview/3122190552/se-2?accountid=14762,,," mi-exclusive , us-stock-market , canada , canadian-stocks , david-rosenberg , rosenberg-research , toronto , tsx , sp-500 , market-rally",,,," FINANCE , ECONOMICS , New York , United States--US , Canada"," mi-exclusive , us-stock-market , canada , canadian-stocks , david-rosenberg , rosenberg-research , toronto , tsx , sp-500 , market-rally",https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=%27Leave+New+York+and+come+to+Toronto%27%3A+Canadian+stocks+are+set+to+outperform+the+S%26amp%3BP+500%2C+top+economist+says&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=%27Leave+New+York+and+come+to+Toronto%27%3A+Canadian+stocks+are+set+to+outperform+the+S%26amp%3BP+500%2C+top+economist+says&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Cloonan,ABI/INFORM Collection
Why 'Trump trades' and 'Harris trades' could be just regular stock-market bets; Here's what the S&P 500 sectors are really saying about their presidential election preference,3122124196,Newspapers,"Hulbert, Mark",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 30, 2024",, English, English,, South Brunswick,"Oct 30, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/why-trump-trades-harris-could-be-just-regular/docview/3122124196/se-2?accountid=14762, 92111 Executive Offices, 92111 Executive Offices,, 92111 Executive Offices,, 92111 Executive Offices," Primaries & caucuses , Election results , Investments , Presidential elections , Investors , FINANCE , United States--US , Harris, Kamala , Trump, Donald J",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Why+%27Trump+trades%27+and+%27Harris+trades%27+could+be+just+regular+stock-market+bets%3B+Here%27s+what+the+S%26amp%3BP+500+sectors+are+really+saying+about+their+presidential+election+preference&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Why+%27Trump+trades%27+and+%27Harris+trades%27+could+be+just+regular+stock-market+bets%3B+Here%27s+what+the+S%26amp%3BP+500+sectors+are+really+saying+about+their+presidential+election+preference&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Hulbert,ABI/INFORM Collection
Garmin Is Today's Top S&P 500 Stock. Outlook Raised Ahead of 'Important Holiday Selling Season.',3122124194,Newspapers,"Dattilo, Emily",," Copyright 2024 Dow Jones & Company, Inc. All Rights Reserved.", News," Oct 30, 2024",, English, English,, New York,"Oct 30, 2024",Barron's (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/garmin-is-todays-top-s-amp-p-500-stock-outlook/docview/3122124194/se-2?accountid=14762,,,,,,, SUSTAINABILITY,,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Garmin+Is+Today%27s+Top+S%26amp%3BP+500+Stock.+Outlook+Raised+Ahead+of+%27Important+Holiday+Selling+Season.%27&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Garmin+Is+Today%27s+Top+S%26amp%3BP+500+Stock.+Outlook+Raised+Ahead+of+%27Important+Holiday+Selling+Season.%27&amp;spage=&amp;sid=ProQ%3Aabiglobal&amp;author=Dattilo,"ABI/INFORM Collection, Research Library"
"Amazon 'has never been stronger.' So why isn't its stock getting more love? Amazon's stock has trailed the S&P 500 over the past three months, owing in part to concerns about operating income and margin compression. Will Thursday's earnings alleviate fears?",3122051231,Newspapers,"Bary, Emily",," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 30, 2024",, English, English,, South Brunswick,"Oct 30, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/amazon-has-never-been-stronger-so-why-isnt-stock/docview/3122051231/se-2?accountid=14762,,,,,,," MARKETING , Investments , Investors , SUSTAINABILITY",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Amazon+%27has+never+been+stronger.%27+So+why+isn%27t+its+stock+getting+more+love%3F+Amazon%27s+stock+has+trailed+the+S%26amp%3BP+500+over+the+past+three+months%2C+owing+in+part+to+concerns+about+operating+income+and+margin+compression.+Will+Thursday%27s+earnings+alleviate+fears%3F&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Amazon+%27has+never+been+stronger.%27+So+why+isn%27t+its+stock+getting+more+love%3F+Amazon%27s+stock+has+trailed+the+S%26amp%3BP+500+over+the+past+three+months%2C+owing+in+part+to+concerns+about+operating+income+and+margin+compression.+Will+Thursday%27s+earnings+alleviate+fears%3F&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Bary,ABI/INFORM Collection
"Microsoft Stock Outperforms S&P 500, Rallies Off Key Technical Level; Why It's A Buy Now",3124635791,Newspapers,"Saito-Chung, David", OpenAI, (c) 2024 Investor's Business Daily, News," Oct 29, 2024",, English, English,, Los Angeles,"Oct 29, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/microsoft-stock-outperforms-s-amp-p-500-rallies/docview/3124635791/se-2?accountid=14762, 52321 Securities and Commodity Exchanges, 52321 Securities and Commodity Exchanges,, 52321 Securities and Commodity Exchanges,, 52321 Securities and Commodity Exchanges," FINANCE , FINANCE , Investments , SUSTAINABILITY , SUSTAINABILITY , FINANCE , HUMANRESOURCES , ACCTAX , SUSTAINABILITY , Cloud computing , Investors , FINANCE",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Microsoft+Stock+Outperforms+S%26amp%3BP+500%2C+Rallies+Off+Key+Technical+Level%3B+Why+It%27s+A+Buy+Now&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Microsoft+Stock+Outperforms+S%26amp%3BP+500%2C+Rallies+Off+Key+Technical+Level%3B+Why+It%27s+A+Buy+Now&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Saito-Chung,ABI/INFORM Collection
"A hint in 3rd-quarter earnings calls suggests S&P 500 corporate profits are about to boom, Bank of America says",3121594401,Newspapers,"Fox, Matthew", Bank of America Corp," Copyright Insider, Inc. 2024", News," Oct 29, 2024",, English, English,, New York,"Oct 29, 2024",Business Insider,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/hint-3rd-quarter-earnings-calls-suggests-s-amp-p/docview/3121594401/se-2?accountid=14762,,," mi-exclusive , stock-market , stock-market-outlook , stock-market-analysis , analyst-note , sp-500 , earnings , markets",,,," SUSTAINABILITY , SUSTAINABILITY , SUSTAINABILITY"," mi-exclusive , stock-market , stock-market-outlook , stock-market-analysis , analyst-note , sp-500 , earnings , markets",https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=A+hint+in+3rd-quarter+earnings+calls+suggests+S%26amp%3BP+500+corporate+profits+are+about+to+boom%2C+Bank+of+America+says&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=A+hint+in+3rd-quarter+earnings+calls+suggests+S%26amp%3BP+500+corporate+profits+are+about+to+boom%2C+Bank+of+America+says&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Fox,ABI/INFORM Collection
Why these 17 stocks in the S&P 500 are now more compelling; BlackRock CEO Larry Fink says companies' earnings are 'catching up' to high P/E ratios for their stocks. Here are 10 companies to keep an eye on.,3121579973,Newspapers,Philip van Doorn,," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 29, 2024",, English, English,, South Brunswick,"Oct 29, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/why-these-17-stocks-s-amp-p-500-are-now-more/docview/3121579973/se-2?accountid=14762, 52321 Securities and Commodity Exchanges, 52321 Securities and Commodity Exchanges,, 52321 Securities and Commodity Exchanges,, 52321 Securities and Commodity Exchanges," FINANCE , FINANCE , FINANCE , Investments , Estimates , FINANCE , FINANCE , Investors , SUSTAINABILITY , Fink, Laurence D",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Why+these+17+stocks+in+the+S%26amp%3BP+500+are+now+more+compelling%3B+BlackRock+CEO+Larry+Fink+says+companies%27+earnings+are+%27catching+up%27+to+high+P%2FE+ratios+for+their+stocks.+Here+are+10+companies+to+keep+an+eye+on.&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Why+these+17+stocks+in+the+S%26amp%3BP+500+are+now+more+compelling%3B+BlackRock+CEO+Larry+Fink+says+companies%27+earnings+are+%27catching+up%27+to+high+P%2FE+ratios+for+their+stocks.+Here+are+10+companies+to+keep+an+eye+on.&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Philip+van+Doorn,ABI/INFORM Collection
Make Or Break Time — 8 Stocks Drive 25% Of The S&P 500's Profit,3124635910,Newspapers,"Krantz, Matt"," JPMorgan Chase & Co , NVidia Corp , Berkshire Hathaway Inc", (c) 2024 Investor's Business Daily, News," Oct 28, 2024",, English, English,, Los Angeles,"Oct 28, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/make-break-time-8-stocks-drive-25-s-amp-p-500s/docview/3124635910/se-2?accountid=14762,,,,,,," FINANCE , SUSTAINABILITY , SUSTAINABILITY , FINANCE",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=Make+Or+Break+Time+%E2%80%94+8+Stocks+Drive+25%25+Of+The+S%26amp%3BP+500%27s+Profit&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=Make+Or+Break+Time+%26mdash%3B+8+Stocks+Drive+25%25+Of+The+S%26amp%3BP+500%27s+Profit&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Krantz,ABI/INFORM Collection
S&P 500 Giant Leads 5 Stocks Near Buy Points,3124699928,Newspapers,"Miller, Harrison"," Carpenter Technology Corp , JPMorgan Chase & Co", (c) 2024 Investor's Business Daily, News," Oct 26, 2024",, English, English,, Los Angeles,"Oct 26, 2024",Investor's Business Daily (Online),2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/s-amp-p-500-giant-leads-5-stocks-near-buy-points/docview/3124699928/se-2?accountid=14762,,,,,,," FINANCE , SUSTAINABILITY , SUSTAINABILITY",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=S%26amp%3BP+500+Giant+Leads+5+Stocks+Near+Buy+Points&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=S%26amp%3BP+500+Giant+Leads+5+Stocks+Near+Buy+Points&amp;spage=&amp;sid=ProQ%3Aabitrade&amp;author=Miller,ABI/INFORM Collection
The stock market gains the most when this political party occupies the White House; The S&P 500's annualized total return has been 11.0% when a Democrat is president and Congress is Republican-controlled,3120877436,Newspapers,"Hulbert, Mark"," Congress-US , Senate-US"," Copyright 2024 MarketWatch, Inc.  All Rights Reserved.", News," Oct 26, 2024",, English, English,, South Brunswick,"Oct 26, 2024",MarketWatch,2024,https://esearch.ut.edu/login?url=https://www.proquest.com/newspapers/stock-market-gains-most-when-this-political-party/docview/3120877436/se-2?accountid=14762, 92111 Executive Offices, 92111 Executive Offices,, 92111 Executive Offices,, 92111 Executive Offices," Election results , Investments , Presidential elections , SUSTAINABILITY , SUSTAINABILITY , FINANCE , FINANCE , United States--US",,https://ut.primo.exlibrisgroup.com/openurl/01UTAMPA_INST/01UTAMPA_INST:SpartanSearch?genre=article&amp;issn=&amp;title=The+stock+market+gains+the+most+when+this+political+party+occupies+the+White+House%3B+The+S%26amp%3BP+500%27s+annualized+total+return+has+been+11.0%25+when+a+Democrat+is+president+and+Congress+is+Republican-controlled&amp;volume=&amp;issue=&amp;date=2024&amp;atitle=The+stock+market+gains+the+most+when+this+political+party+occupies+the+White+House%3B+The+S%26amp%3BP+500%27s+annualized+total+return+has+been+11.0%25+when+a+Democrat+is+president+and+Congress+is+Republican-controlled&amp;spage=&amp;sid=ProQ%3Aabidateline&amp;author=Hulbert,ABI/INFORM Collection
